username,review,tahun,aplikasi,clean_text,sentiment_score,label
MaeVan,Ini kenapa BCA virtual account tidak bisa transfer?,2025,bca,bca virtual account tidak bisa transfer,0,netral
Rut sintia Liliana22,Udah ikutin cara ny tpi ttep gk bisa di buka.. Tolong dong ini cepat perbaiki kendala ny ssah klau mau TF kn.. Klau udh bisa aku ksih tmbah bintang 5,2024,bca,ikutin ny ttep tidak bisa buka tolong cepat baik kendala ny ssah klau transfer kn klau bisa ksih tmbah bintang,1,positif
Hafiizh Satria Albin,Kebanyakan verifikasi ulang terus,2025,bca,banyak verifikasi ulang,0,netral
Fendi lau1998,tolong di munculkan mutasi rekening bayar perbulan ny biar kita bisa tau ke potong brp soalnya saya pernah kartu saya biru perbulan 15rb knp bisa ke potong 40rb???,2025,bca,tolong muncul mutasi rekening bayar bulan ny bisa potong kartu biru bulan ribu bisa potong ribu,0,netral
Anak Kedua (Pe_King),selalu update. tp masih saja. kendala di transaksi. lampu indikator warna merah saja...,2025,bca,update kendala transaksi lampu indikator warna merah,-1,negatif
Rini Irawan,Ribet kode kode udh akses udh masih ribet juga masuknyaa,2025,bca,ribet kode kode akses ribet masuknyaa,-2,negatif
lukman cahyono,Kotak centangnya kok g bisa di klik yah... Mohon bantuannya,2024,bca,kotak centang tidak bisa klik mohon bantu,0,netral
Imam Subkhan Aldi Setiawan,Pagi admin m bca knpa ya aplikasi bca mobile sy tdk bisa di buka mental mulu padhal sdh di update dan sdj kami hapus dan dlwnlod smpe skrg tdk bisa,2024,bca,pagi m bca knpa aplikasi bca mobile tidak bisa buka mental padhal update sdj hapus dlwnlod smpe tidak bisa,0,netral
Ewa Sugono,lampu y merah terus kenapa,2025,bca,lampu y merah,0,netral
Zhou Chengtao,kenapa setelah di update tidak bisa di buka ya,2024,bca,update tidak bisa buka,0,netral
Dhonie Sulaeman,Punya saya ko gk bisa di buka,2024,bca,tidak bisa buka,0,netral
Adi Fathir01,Eror ga bisa di gunakan.,2024,bca,error tidak bisa,-1,negatif
Idaa Marianti,"kenapa saldo yg dikrim ke saya kok blm masuk"" Padalal notifikasi nya udh ada",2025,bca,saldo krim masuk padalal notifikasi,0,netral
Aeni Farkhatun,tidak ada riwayat transaksi minta tolong di perbaiki lagi..,2025,bca,tidak riwayat transaksi tolong baik,1,positif
Widiani Wiwid,"Tolong di perbaiki 🙏🏻, aplikasi nya ga bisa di buka, sering keluar sendiri aplikasi nya",2024,bca,tolong baik aplikasi tidak bisa buka aplikasi,1,positif
F K,sinya HP bagus tp indikator sinyal di BCA Mobile merah terus gak jelas,2025,bca,sinya handphone bagus indikator sinyal bca mobile merah tidak,1,positif
Dudi Kusnadi,"ini kenapa gak bisa masuk/login ketika diklik, langsung keluar aplikasi, setelah di update terbaru, sudah di uninstal, instal ulang, tetap seperti itu",2024,bca,tidak bisa masuklogin klik langsung aplikasi update baru uninstal instal ulang,0,netral
GRANATT Asap,Ini gimana bca,2024,bca,bca,0,netral
Hariati Sirait,saya tidak seganja hapus aplikasih bca mobile pas saya dawunload mala jdi tidak bisa login lagi kenapa ya😭,2025,bca,tidak ganja hapus aplikasih bca mobile cocok dawunload mala tidak bisa login,0,netral
Davaa,"selalu error, pasti ada saja masalahnya, kemarin tidak bisa dibuka, sekarang tanpa alasan error gabisa transaksi 205",2024,bca,error kemarin tidak bisa buka alas error tidak bisa transaksi,-2,negatif
devianti saraswati,tolong perbaiki setiap pemindahan device selalu susah di bagian foto tidak sesuai terus,2024,bca,tolong baik pindah device susah foto tidak sesuai,0,netral
Harunsyah Muawwan Zulkarnaen,Bagus sih cuma sekarang mah lemot aplikasinya gak kayak dulu,2025,bca,bagus mah lama aplikasi tidak,0,netral
adi prasetyo,"halo ini kenapa saya tf dari seabank ke m bca ko gamasuk ya saldonya? diriwayat seabank udah bener rekening sama nama nya, trs di notifikasi mbca jg ada notifikasi dana masuk. tapi saldonya kok gaada ya?? sorry, gatau klo ada dana ngendap² gitu , agak emosi tadi soalnya lagi buru² dan saldo sisa 30rb dan niatnya mau buat beli kuota, eh malah ga masuk saldonya",2025,bca,halo transfer seabank m bca gamasuk saldo riwayat seabank rekening nama notifikasi mobile bca notifikasi dana masuk saldo tidak sorry gatau dana ngendap gitu emosi buru saldo sisa ribu niat beli kuota eh tidak masuk saldo,0,netral
Ray Adiba,Setelah di update aplikasinya setiap mau masuk malah langsng keluar otomatis,2024,bca,update aplikasi masuk langsng otomatis,0,netral
Eed Soolone21,Habis update kenapa jadi sering merah ini lampu indikatornya. gangguan terus,2025,bca,habis update merah lampu indikator ganggu,-1,negatif
Agus Ayala,knpa susah login ya,2025,bca,knpa susah login,-1,negatif
Mr. B,"Awal nya ga bisa login, terus diriset. Malah ga bisa registrasi, gagal verikasi terus...😭",2024,bca,tidak bisa login riset tidak bisa registrasi gagal verikasi,-1,negatif
Chelsea Musa,"Apl sering keluar² sendiri,tolong lah buat BCA mobile segera perbaiki yg lebih optimal lgi,yg mau pakai juga butuh kenyamanan saat pake apl nya",2024,bca,apl sendiritolong bca mobile baik optimal lgiyg pakai butuh nyaman pakai apl,2,positif
KENZO ALVARO,Bca mobile dh gangguan seminggu lebih.tolong segera d perbaiki dong..,2024,bca,bca mobile dh ganggu minggu lebihtolong baik,0,netral
Dadang Kusmawan,"Jangan mohon maaf terus segera perbaiki kami pelanggan yg sm mengalami hal spt dikemukakan oleh customer yg lain. Bca mobile sy sm skali jadi tdk berfungsi. Klu emang aplikasi update nya blm siap, mhn jng dulu di implementasikan jd tdk menyulitkan kami. Terima kasih",2024,bca,mohon maaf baik langgan alami spt muka customer bca mobile skali tidak fungsi aplikasi update mhn jng implementasi tidak sulit terima kasih,0,netral
Gani Cell,"bukti pengiriman tolong d bikin kaya aplikasi bank lain dong,kaya bri,mandiri,dan bni cantumin nama/rek sumber pengirim.",2025,bca,bukti kirim tolong kaya aplikasi bank dongkaya brimandiridan bni cantumin namarek sumber kirim,0,netral
jesi abdillah,kenapa setelah pembaruan barusan tidak bisa top up saldo flash. aplikasi keluar sendiri,2025,bca,baru barusan tidak bisa top up saldo flash aplikasi,1,positif
Lili Husnul,ini kenapa ya udah 2 hari eror 205 terus padahal butuh uang.. plis knapa ?,2025,bca,error butuh uang tolong knapa,-1,negatif
Gilang Mahesa,"Setelah update, apk tdk bisa diakses, buka dan nutup sendiri",2024,bca,update aplikasi tidak bisa akses buka nutup,0,netral
Akmal Luddin,BCA lagi eror ya soalnya ga bisa pakai aplikasinya,2024,bca,bca error tidak bisa pakai aplikasi,-1,negatif
Dymas Susilo,"ini napa update terbaru nya bikin ribet si min. masukin nominal di hp balik ke qwerty, bukannya ke angka. tolong balikin seperti sebelumnya",2025,bca,napa update baru ribet si masukin nominal handphone qwerty angka tolong balikin,-1,negatif
Reza Adri wardhana,"susah menerima kode otp,diulang ulang tetap tidak bisa",2025,bca,susah terima kode otpdiulang ulang tidak bisa,-1,negatif
khaylila yasmin,"kenapa skrg dikit"" merah,saya buru"" mau bayar lampuny merah trs ga ijo"" padahal jaringan bagus",2025,bca,dikit merahsaya buru bayar lampuny merah tidak ijo jaring bagus,1,positif
Assidiq Aqiqah 3,Mohon bantuannya Min. terkendala tidak bisa login/ menggunakan aplikasi ini,2024,bca,mohon bantu kendala tidak bisa login aplikasi,-1,negatif
Fery Marz,Tolong ubah lagi di menu inbox nya biar bisa dihapus,2024,bca,tolong ubah menu inbox bisa hapus,0,netral
Indah Indah,cepat,2025,bca,cepat,1,positif
Aziz Yatmanto,Eror,2024,bca,error,-1,negatif
Noob Gaming,4.5.6 ga bisa ceklis pernyataan,2025,bca,tidak bisa ceklis nyata,0,netral
Ali Badri,Setelah di update kenapa jadi susah buka mbca nya padahal saya sudah verifikasi tetep saja tidak bisa diproses . tolong diperbaiki sistemnya,2024,bca,update susah buka mobile bca verifikasi tetep tidak bisa proses tolong baik sistem,0,netral
Uwais Kaladze,gmn si ini masa minta OTP 2 hari kaga dikirim kirim yg bner aja dong orang mau pake mbaking kaca banget ini,2025,bca,gmn si one time password kaga kirim kirim bner orang pakai mbaking kaca banget,0,netral
Pentilite,habis di update kok malah lemot,2025,bca,habis update lama,-1,negatif
Yuniar Rohmatullah,Apakah bca sedang maintance,2025,bca,bca maintance,0,netral
Dedi Pay,ini kenapa ga bisa masuk bca mobile. close trus . tolong cepat di perbarui,2024,bca,tidak bisa masuk bca mobile close tolong cepat baru,0,netral
Rini Agustini,"Sebenarnya takut untuk pasang bca Mobile Banking, karna BCA yg dulu udah si hack",2025,bca,takut pasang bca mobile banking bca si hack,0,netral
swedi utomo,"Ini tumben BCA tiba tiba minta nonaktif aksesbilitas, padahal sudah nonaktif ... Ada apa gerangan? Loh dibaca lagi keluhan saya min aksesbilitas sudah off semua dan aplikasi update terbaru .... Saya basic it min bukan user ecek ecek .... Jawaban anda malah terlalu general",2025,bca,tumben bca nonaktif aksesbilitas nonaktif gerangan baca keluh aksesbilitas off aplikasi update baru basic it user ecek ecek general,0,netral
Sutiyo Tiyo,"Saya baru SE x ini buka aplikasi BANK BCA ,,,tapi sepertinya mudah",2025,bca,buka aplikasi bank bca mudah,1,positif
Rudi Rizkiansyah,kenapa ada pengurangan saldo belasan ribu tapi tidak masuk/tidak ada dimutasi?,2025,bca,kurang saldo bas ribu tidak masuktidak mutasi,0,netral
H Part,Sekarang sering eror... langsung keluar dari aplikasi,2024,bca,error langsung aplikasi,-1,negatif
Sumiaty Sumi,Ini kenapa tiba2 gak bisa di buka yaa stiap di klik..kluar lg dngan sendirinya udh coba unintstal smpe instal lg ulang tetep gak bisa... signal bagus padahal... ko jadi gini ya..jdi susah mau transaksi,2024,bca,tidak bisa buka stiap klikkluar dngan coba unintstal smpe instal ulang tetep tidak bisa signal bagus gin yajdi susah transaksi,0,netral
Aryan zakir Ahmad,Ternyata benar di hp android mode aksesbilitas harus d offkan baru bisa d pakai apk mobileBCA nya . Hampir putus asa sih,2024,bca,handphone android mode aksesbilitas offkan bisa pakai aplikasi mobilebca putus asa,-1,negatif
Taufan Maulana,"Aplikasi tidak dspat dibuka, selalu force close saat mau di buka, Tolong perbaikan nya,",2024,bca,aplikasi tidak dspat buka force close buka tolong baik,-1,negatif
Giselle Cap,tolong fitur hapus notifikasi jangan dihilangkan. dengan adanya fitur tersebut membantu orang yg tidak enakan seperti saya menyembunyikan riwayat transaksi dari keluarga / atau orang yg kepo dengan pengeluaran saya. adanya fitur itupun seharusnya tidak merugikan siapapun.,2025,bca,tolong fitur hapus notifikasi hilang fitur bantu orang tidak enak sembunyi riwayat transaksi keluarga orang kepo keluar fitur itu tidak rugi,0,netral
fyan naewab,"Ini kenapa habis update kok gak bisa di buka aplikasinya, mental terus Tolong di perbaiki min",2024,bca,habis update tidak bisa buka aplikasi mental tolong baik,1,positif
Ira Devira,"aku isi saldo 50rb tapi saldo nya hilang 40rb sisa 10rb saya cek mutasi cuma ada saldo masuk gaada saldo keluar, biaya admin bulanan sudah terpotong, saya tidak punya tagihan apapun tapi knapa ya, tolong di bantu langkah apa yg harus saya ambil?",2025,bca,isi saldo ribu saldo hilang ribu sisa ribu cek mutasi saldo masuk tidak saldo biaya bulan potong tidak tagih apa knapa tolong bantu langkah ambil,0,netral
Eva Zara,"aplikasi Mbanking semakin diperbarui malah semakin lola,ngelag terus lampu indikator sering merah terus pdhal Kuota & wifi Aman tolong dong d perbaiki lagi sistem mbankingnya",2025,bca,aplikasi mbanking baru lolangelag lampu indikator merah pdhal kuota wifi aman tolong baik sistem mbankingnya,2,positif
Empik Taofik,ok,2025,bca,ok,0,netral
Adel Uy,tolong di perbaiki apk ini saya udh tf 2 kali tapi si penerima gk masuk tapi saldo berkurang di perbaiki dong,2025,bca,tolong baik aplikasi transfer si terima tidak masuk saldo kurang baik,2,positif
Arya Bima,"Per tanggal ini kenapa mobile banking ga support di HP saya ya? Aplikasinya setelah di buka langsung close program, Sudah di clear cache, paksa henti sampai reinstal tetap sama hasilnya, apa harus ganti HP kah?",2024,bca,tanggal mobile banking tidak support handphone aplikasi buka langsung close program clear cache paksa henti reinstal hasil ganti handphone kah,-1,negatif
muhammad fajri,adminnya mahal bgt coh tolong kurangi adminya beberapa bulan GC ada saldo sekalinya ada yg ngirim uang tetep aja saldonya kosong selebihnya ok,2025,bca,adminnya mahal banget coh tolong kurang adminya gc saldo sekali ngirim uang tetep saldo kosong lebih ok,0,netral
Bocill bocill,Hari ini buka aplikasinya tapi force close terus..,2024,bca,buka aplikasi force close,-2,negatif
Harfiani Rara,kok saya gak bisa transfer ya. suruh update update terus. padahal udh ada 10 kali saya update. tetap gak bisa transfer dari kemarin. kenapa ini bca,2025,bca,tidak bisa transfer suruh update update update tidak bisa transfer kemarin bca,0,netral
T Es,"tiap kali buka apk nya selalu muncul iklan,sangat menggangu",2025,bca,buka aplikasi muncul iklansangat menggangu,0,netral
nanami kento,lama sekali,2025,bca,lama,-1,negatif
Adellia Mrherlis 98,Kenapa sejak di update m bangking nya ga bisa di buka,2024,bca,update m bangking tidak bisa buka,0,netral
SUNAR ADI WIBOWO,gak bisa secepat dulu.. udah gitu aja komennya..,2025,bca,tidak bisa cepat gitu komennya,1,positif
saepul anwar,barusan saya mau bayar qris ditulisan transaksi gagal sudah 2x tapi saldo saya hilaang.? saya harus mengadu kemana,2025,bca,barusan bayar qris tulis transaksi gagal saldo hilaang adu mana,-1,negatif
Eza Putra,"Abis update tiba2 force close, gmn nih solusinya... Apakah ini cara untuk pindah ke my bca dengan bug pada sistem bca Mobile atau gmn karena sekelas bank bca membiarkan bug seperti ini lebih dr satu hari menandakan betapa tidak amannya sistem ini serta kekhawatiran atas ketidaksiapaan bank bca dalam hal teknologi informasi",2024,bca,abis update force close gmn solusi pindah my bca bug sistem bca mobile gmn kelas bank bca biar bug tanda betapa tidak aman sistem khawatir ketidaksiapaan bank bca teknologi informasi,-1,negatif
Budi Lesmono,kenapa tombol notifikasi gak bisa di refresh....,2025,bca,tombol notifikasi tidak bisa refresh,0,netral
Abdul Haris,semakin kemari...mari agak lemot setelah update ....harusnya di update bisa lebih baik....bukannya tambah lemot.....hadehhhh,2025,bca,kemarimari lama update update bisa baikbukannya lemothadehh,-1,negatif
Pardit Boy12,Saya tidak menerima kode otp Apa m banking eror?,2025,bca,tidak terima kode one time password m banking error,-1,negatif
Kholida Ulvi,Tetep aja ga bisa dibuka kenapa ya padahal udah ngikutin saran teman2 di kolom ulasan,2024,bca,tetep tidak bisa buka ngikutin saran teman kolom ulas,0,netral
Irfan N,Setelah update aplikasi baru dibuka izinkan lokasi malah keluar dan gabisa masuk masuk lagi.. gimana ini ya? jadi gabisa pakai aplikasi nya my bca pun sama aja.. udah nyaman pakai bca mobile anti ribet padahal,2024,bca,update aplikasi buka izin lokasi tidak bisa masuk masuk tidak bisa pakai aplikasi my bca nyaman pakai bca mobile anti ribet,0,netral
SPG CANARY,"kenapa setiap malam mau transaksi, selalu aja gagal.. ini gimana si??",2025,bca,malam transaksi gagal si,-1,negatif
Diorama Yuanito,"Latest update v4.4.3 malah force close? Samsung A15. Justru v4.4.1 masih aman ... Akhirnya saya tahu caranya adalah mematikan semua permission Accessibility dari aplikasi lain di menu Aksesibilitas - Aplikasi Terinstall. Semestinya BCA Mobile jangan langsung force close jika menemukan ada aplikasi yg menggunakan permission Accessibility, contohnya Program Antivirus dan lain sebagainya. Tapi tunjukkan ke user bahwa user harus mematikan aplikasi lain yg menggunakan permission Accessibility.",2024,bca,latest update v force close samsung a v aman mati permission accessibility aplikasi menu aksesibilitas aplikasi terinstall mesti bca mobile langsung force close temu aplikasi permission accessibility contoh program antivirus tunjuk user user mati aplikasi permission accessibility,-3,negatif
Susi Susilawati,"abis di perbarui aplikasinya malah jelek, pencarian kontak gak bisa ,biasanya kalau kita masuk no rek yg udh terdaftar di kontak langsung otomatis namanya muncul ,ini gak bisa harus nyari namnya satu persatu..",2025,bca,abis baru aplikasi jelek cari kontak tidak bisa masuk no rekening daftar kontak langsung otomatis nama muncul tidak bisa nyari namnya satu,-1,negatif
Ahmad Taufik,"kenpapa punya saya kalau pakai wifi tidak bisa hijau lampunya,jadi tidak bisa buat transaksi. tapi kalau pakai data seluler bisa.mohon jawabanya",2025,bca,kenpapa pakai wifi tidak bisa hijau lampunyajadi tidak bisa transaksi pakai data seluler bisamohon jawabanya,0,netral
Aang Gunawan,Abis update kenapa mental keluar keluar terus ini ..aduhhh,2024,bca,abis update mental aduhh,0,netral
Aprilia Putri Pangesti,kenapa setelah di-update aplikasinya jadi lemot ya..fontnya jg beda dan lebih besar.. okelah kalau font gak apa2..tp ini jadi lemot pas pemakaiannya.. tolong ya BCA..,2025,bca,diupdate aplikasi lama yafontnya beda oke font tidak lama cocok pakai tolong bca,-2,negatif
Eres Resta,"maaf kenapa BCA mobile tidak bs merespon,awal2 bisa skr ga bisa lagi",2024,bca,maaf bca mobile tidak bs meresponawal bisa tidak bisa,0,netral
Laksono Hendri Kuncoro,"Aplikasi kok tiba"" keluar sendiri",2024,bca,aplikasi,0,netral
Benny Bean,kebanyakan erornya,2025,bca,banyak eror,0,netral
agatha vivi,Udah di uninstall terus install lagi tetep aja gk bisa masuk tolong benerin dong min jadi susah nih mau cek gajian aja jadi ribet,2025,bca,uninstall install tetep tidak bisa masuk tolong benerin susah cek gaji ribet,-2,negatif
Viva Verawati,saya sudah sempat mendaftar bca mobil dan udh bisa beberapa hari lalu karna hp ngeblank aplikasi bca mobile saya hapus dan hari ini saya download ulang saya registrasi ulang untuk dapat kode otp biar bisa masuk tapi tidak kunjung mendapatkan kode otp sampai habis pulsa 25 rb bolak balik mencoba verifikasi tapi tidak ada respon kode otp,2025,bca,daftar bca mobil bisa handphone ngeblank aplikasi bca mobile hapus download ulang registrasi ulang kode one time password bisa masuk tidak kunjung kode one time password habis pulsa ribu bolak coba verifikasi tidak respon kode one time password,0,netral
Sam Hafi,Msh ga bs dibk,2024,bca,msh tidak bs dibk,0,netral
Memey Meymey,Aplikasi bca bgni amat eror truus,2024,bca,aplikasi bca bgni error truus,-1,negatif
Poetra Edan,"gara-gara sering sekali ganguan setiap pukul tengah malam , sangat tidak efektif jika ke adaan darurat seperti Harus transaksi di rumah sakit",2025,bca,garagara ganguan malam sangat tidak efektif ada darurat transaksi rumah sakit,0,netral
Taupik Viber,"estimasi lama banget mau di pake nungguin jm3 di coba masih blm bisa. yg bener beres JM brpa, bisa teransaki y",2025,bca,estimasi lama banget pakai nungguin jm coba bisa beres jm brpa bisa teransaki y,-1,negatif
Angga Yuwana,"Force closed terus, ga bisa dipake. Ga biasanya BCA begini",2024,bca,force closed tidak bisa dipake tidak bca,-1,negatif
Rahmat Hidayat,Tiba tiba gak bisa di akses kalo masuk ke apk nya langsung keluar lagi...,2024,bca,tidak bisa akses masuk aplikasi langsung,0,netral
Sanny Is My Name,Susah cri signal ijo pdhl signal baru,2024,bca,susah cri signal ijo signal,-1,negatif
Christian Doli Manullang,Indikator bca mobile saya merah terus dari hari kemarin,2025,bca,indikator bca mobile merah kemarin,0,netral
Suroso Suroso,terlalu keseringen update kacauu,2025,bca,keseringen update kacauu,0,netral
Mus Takim,kok sekarang cs BCA sulit ya dihubungi masak ditelfon dikasih lagu selama 10 menit blum nonggol juga tuh admin cs nya,2025,bca,customer service bca sulit hubung masak ditelfon kasih lagu menit blum nonggol customer service,-1,negatif
Nurul kania Okthamaesa,gak se praktis sebelomnya!! bikin ribet dan lama harus scroll kebawah untuk cari daftar transfer,2025,bca,tidak praktis bom ribet lama scroll bawah cari daftar transfer,-1,negatif
GoldDays Shop,"apkikasinya lemot, tolong diperbaiki",2025,bca,apkikasinya lama tolong baik,0,netral
Lisanus Sidqi,buat main gacha luuaaammmaaa bgt..,2025,bca,main gacha luuaammaa banget,0,netral
Niken Ayu Cantika,"sebelumnya seneng bgt krn satset pake qris m-bca...tpi akhir² ini sering eror...pembayaran via Qris sll gagal tapi saldo tetap terpotong...dan ketika mengajukan keluhan melalui hallo bca via WhatsApp sll tidak ada tanggapan atau dalam antrean yg panjang...pusing ihhh,eta geh saldo kepotongnya lumayan dan udah beberapa kali bukan 1 atau 2 kali doang. mohon kerjasamanya untuk perbaikan kedepannya min...",2025,bca,neng banget satset pakai qris mbcatpi erorpembayaran qris sll gagal saldo terpotongdan aju keluh hallo bca whatsapp sll tidak tanggap antre panjangpusing ihheta geh saldo potong lumayan mohon kerjasamanya baik depan,0,netral
Poniah Poniah,"Bca sy sdh 3 hari ini ga bsa di buka knp yah udh di update jg tetp ga bsa ,",2024,bca,bca tidak bsa buka update tetp tidak bsa,0,netral
Rian Fathmawati,"Tiba-tiba suruh verifikasi ulang, tapi Verifikasi ulang gagalan terus 😭😭😭 padahal nomor aktif dan terisi pulsa",2025,bca,tibatiba suruh verifikasi ulang verifikasi ulang gagal nomor aktif isi pulsa,-1,negatif
jasmin cute,Setelah update kenapa jadi gak bisa dibuka untuk transaksi?,2025,bca,update tidak bisa buka transaksi,0,netral
Rizki Noviansyah,hari ini mau pake down,2025,bca,pakai down,-1,negatif
Muhammad Agung,Tolong diperbaiki setiap buka aplikasinya selalu keluar sendiri,2024,bca,tolong baik buka aplikasi,1,positif
e-Troy,"Setelah update mbankin bca malah error,saya uninstall dan install lagi tetap sama, mohon segera diperbaiki,,,baru kali ini saya ngalamin hal spt ini,,, Gimana solusi nya?? ✌",2024,bca,update mbankin bca errorsaya uninstall install mohon diperbaikibaru ngalamin spt solusi,0,netral
Izriel Aang,"Untuk Bank pelayanan Terbaik ku akui BCA, Dari Parkir Gratis, Satpam sampai Teller, Jozz semua Pelayanannya...👍🏻 Sayang tidak dengan Apk M-Bankingnya... Beberapa Kali mengalami error yang mengharuskan datang ke bank untuk perihal login... 🥴",2025,bca,bank layan baik ku aku bca parkir gratis satpam teller jozz layan sayang tidak aplikasi mbankingnya alami error harus bank perihal login,0,netral
Juan Saka,"Tolong dong pihak BCA segera menyelesaikan masalah force close aplikasi nya, walaupun saya sudah menonaktifkan aksebilitas di hp saya tetep gak bisa duh, sangat menggangu aktivitas saya sehari2 dalam penggunaan m-banking",2024,bca,tolong bca selesai force close aplikasi nonaktif aksebilitas handphone tetep tidak bisa duh sangat menggangu aktivitas hari guna mbanking,-2,negatif
Sovia Nuke,Hallo min ini gimna ya cara hapus riwaya ato bekas tranferan.setelah di update kok jadi gak bisa di hapus.ini udah 200 lebih menggaggu pengen di hapus,2024,bca,hallo gimna hapus riwaya ato bekas tranferansetelah update tidak bisa hapusini menggaggu ken hapus,0,netral
M. Alfatikh,Semakin jelek ga bisa di buka,2024,bca,jelek tidak bisa buka,-1,negatif
Marwan Munah,"M BCA bobile,setiap ganti hp selalu ga bisa d buka harus aktivasi terus,padahal pulsa sudah habis 80rb untuk aktivasi,tapi masih ga bisa d gunakan, tolong d perbaiki lagi aplikasi ini,jangan selalu merepotkan penggunanya,trimakasih.",2025,bca,m bca bobilesetiap ganti handphone tidak bisa buka aktivasi teruspadahal pulsa habis ribu aktivasitapi tidak bisa tolong baik aplikasi inijangan repot penggunanyatrimakasih,0,netral
Riansyah Saputra (CA1RST),Nikmati update terbaru BCA mobile untuk mendukung transaksi agar lebih mudah dan cepat. Versi terbaru BCA mobile memberikan kenyamanan dalam bertransaksi! FAKTANYA MEMPERSULIT. TOLONG DI PERBAIKI SAAT SI BUKA TERTUTUP KEMBALI . SARAN DI TERIMA NAMUN GAGAL,2024,bca,nikmat update baru bca mobile dukung transaksi mudah cepat versi baru bca mobile nyaman transaksi fakta sulit tolong baik si buka tutup saran terima gagal,2,positif
bidan neneng,2 hari ini tidak bisa akses. Rasanya kepala mau pecah,2024,bca,tidak bisa akses kepala pecah,0,netral
Deden Kustiawan,Semenjak di upgrade per tgl 18 okt..versi 4.3.3 sampe di versi 4.5.1 apk sama sekali tdk bisa di buka sama sekali.. malah layar seakan ngeblank semua tdk bisa buka apk yang lainya.. tolong untuk penyelesaianya.. dan solusiny.. (oya hp saya mnggunakan samsu*g)..karena denger² kbanyakan yg trouble itu di hp samsu*g.. tolong sangat untuk solusinya.. trmksh.. 🙏,2024,bca,semenjak upgrade tgl oktversi versi aplikasi tidak bisa buka layar akan ngeblank tidak bisa buka aplikasi lai tolong penyelesaianya solusiny oya handphone mnggunakan samsugkarena denger kbanyakan trouble handphone samsug tolong sangat solusi trmksh,0,netral
Juan Enrico Lorenzo,"Tolong dong ini BCA mobile force close terus, segera diperbaiki.",2024,bca,tolong bca mobile force close baik,-1,negatif
Mohammad Lutfianto,"Ada bug setelah pembaruhan, di mana menu search di daftar rekening tidak berfungsi. Alhasil harus mensecroll manual untuk mencari rekening yang dituju",2025,bca,bug baruh menu search daftar rekening tidak fungsi alhasil mensecroll manual cari rekening tuju,0,netral
KBC_gamings 29,"kekurangan, di bagian mutasi tidak ada waktu pengiriman",2025,bca,kurang mutasi tidak kirim,0,netral
Nunu 24,Ini gmna sih ko gk bisa kebuka ya mobile nya,2024,bca,gmna tidak bisa buka mobile,0,netral
irman celesta,Kenapa sekarang BCA mobile dalam seminggu sering sekali mesti di update? Kurangin update dalam seminggu nyaaa. Krna terlalu sering,2024,bca,bca mobile minggu mesti update rangin update minggu nyaa krna,0,netral
Elvira Dupont,di update malah jadi lelet,2025,bca,update lelet,0,netral
Viking Juve,Apk nya lagi gngguan ? lampu indikatornya merah terus. tolong d perbaiki,2025,bca,aplikasi gngguan lampu indikator merah tolong baik,1,positif
Syafira Ma'arif,"Gw kira hp gw yg bermasalah, ternyata emg app nya error setelah update, nyusahin aja",2024,bca,handphone masalah aplikasi error update nyusahin,-2,negatif
Carneo Fx,"Saya pernah, pembayaran Qris, transaksi gagal, tapi saldo tetap terpotong. Sudah hub Halo BCA, proses pengembalian 20 hari, padahal sudah perlu banget",2025,bca,bayar qris transaksi gagal saldo potong hub halo bca proses kembali banget,-1,negatif
Zacky,Nga bisa dipakai semenjak diperbarui...,2024,bca,nga bisa pakai semenjak baru,0,netral
Ditha LW,"Aplikasinya kenapa ga bisa dibuka ya setelah diupdate, transaksi jadi terhambat. Kapan diperbaiki?",2024,bca,aplikasi tidak bisa buka diupdate transaksi hambat baik,1,positif
Panda Cinema,Semakin diupdate hr ni aplikasi tidak bs dipergunakan dan auto fix/ closed. Bknny dipermudah malah tambah tdk bs dipergunakan,2024,bca,diupdate hr aplikasi tidak bs auto fix closed bknny mudah tidak bs,1,positif
Sony Nurwiyaya,"ini tolong nggak bisa masuk,disuruh masukkan nomor kartu atm 16 digit,sedangkan saya belum cetak kartu atm",2025,bca,tolong tidak bisa masukdisuruh masuk nomor kartu atm digitsedangkan cetak kartu atm,0,netral
Fitria Nurarifin,"tidak nisa login ,tolong yahh aplikasinya di benerin lagi",2025,bca,tidak nisa login tolong yahh aplikasi benerin,0,netral
star galaxi,ganti hp malah masukin kode akses salah mulu padahal udah bener. ini udah ganti 4 kali masih ajah error,2025,bca,ganti handphone masukin kode akses salah ganti ajah error,-1,negatif
Vincent Valintino,baik,2025,bca,,0,netral
Hanif Hamid,"loading masuk kelamaan, tolong lah",2024,bca,loading masuk tolong,-1,negatif
ryn ramadhan,"Aplikasi force close,sudah di install ulang 3 kali tetap force close",2024,bca,aplikasi force closesudah install ulang force close,-3,negatif
Adam Saptaji,"Kalau maintenance itu jangan pagi2, tengah malam aja sekalian. mengganggu aktifitas orang jika sedang mau transaksi.",2025,bca,maintenance pagi malam ganggu aktifitas orang transaksi,-1,negatif
bumb lebee,"kenapa y beberpa waktu ini sering ""Please insert your Sim card"" mulu y Min , 🥺",2025,bca,y beberpa please insert your sim card y,0,netral
birrbix tex,ga bsa,2025,bca,tidak bsa,0,netral
